,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：370yd,Hdcp：,PAR：5,Reg.：523yd,Hdcp：,PAR：3,Reg.：159yd,Hdcp：
1,,,,,,,,,
2,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.0% フェアウェイ率49.5% OB率32.3% バンカー率17.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.0% フェアウェイ率49.5% OB率32.3% バンカー率17.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.0% フェアウェイ率49.5% OB率32.3% バンカー率17.0%,難易度8位/18ホール中 平均スコア6.39 平均パット数1.93 パーオン率18.8% フェアウェイ率46.5% OB率18.3% バンカー率29.0%,難易度8位/18ホール中 平均スコア6.39 平均パット数1.93 パーオン率18.8% フェアウェイ率46.5% OB率18.3% バンカー率29.0%,難易度8位/18ホール中 平均スコア6.39 平均パット数1.93 パーオン率18.8% フェアウェイ率46.5% OB率18.3% バンカー率29.0%,難易度16位/18ホール中 平均スコア4.07 平均パット数2 パーオン率26.8% フェアウェイ率- OB率7.0% バンカー率41.0%,難易度16位/18ホール中 平均スコア4.07 平均パット数2 パーオン率26.8% フェアウェイ率- OB率7.0% バンカー率41.0%,難易度16位/18ホール中 平均スコア4.07 平均パット数2 パーオン率26.8% フェアウェイ率- OB率7.0% バンカー率41.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：380yd,Hdcp：,PAR：4,Reg.：383yd,Hdcp：,PAR：3,Reg.：147yd,Hdcp：
5,,,,,,,,,
6,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率10.0% フェアウェイ率45.0% OB率23.3% バンカー率21.5%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率10.0% フェアウェイ率45.0% OB率23.3% バンカー率21.5%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率10.0% フェアウェイ率45.0% OB率23.3% バンカー率21.5%,難易度1位/18ホール中 平均スコア5.73 平均パット数1.93 パーオン率6.5% フェアウェイ率40.5% OB率31.8% バンカー率20.5%,難易度1位/18ホール中 平均スコア5.73 平均パット数1.93 パーオン率6.5% フェアウェイ率40.5% OB率31.8% バンカー率20.5%,難易度1位/18ホール中 平均スコア5.73 平均パット数1.93 パーオン率6.5% フェアウェイ率40.5% OB率31.8% バンカー率20.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数2 パーオン率30.5% フェアウェイ率- OB率10.7% バンカー率29.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数2 パーオン率30.5% フェアウェイ率- OB率10.7% バンカー率29.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数2 パーオン率30.5% フェアウェイ率- OB率10.7% バンカー率29.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：519yd,Hdcp：,PAR：4,Reg.：435yd,Hdcp：,PAR：4,Reg.：344yd,Hdcp：
9,,,,,,,,,
10,難易度11位/18ホール中 平均スコア6.34 平均パット数1.9 パーオン率22.0% フェアウェイ率47.5% OB率12.8% バンカー率27.0%,難易度11位/18ホール中 平均スコア6.34 平均パット数1.9 パーオン率22.0% フェアウェイ率47.5% OB率12.8% バンカー率27.0%,難易度11位/18ホール中 平均スコア6.34 平均パット数1.9 パーオン率22.0% フェアウェイ率47.5% OB率12.8% バンカー率27.0%,難易度2位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率51.5% OB率12.8% バンカー率8.7%,難易度2位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率51.5% OB率12.8% バンカー率8.7%,難易度2位/18ホール中 平均スコア5.67 平均パット数1.99 パーオン率8.0% フェアウェイ率51.5% OB率12.8% バンカー率8.7%,難易度10位/18ホール中 平均スコア5.42 平均パット数1.9 パーオン率14.3% フェアウェイ率51.8% OB率25.0% バンカー率18.0%,難易度10位/18ホール中 平均スコア5.42 平均パット数1.9 パーオン率14.3% フェアウェイ率51.8% OB率25.0% バンカー率18.0%,難易度10位/18ホール中 平均スコア5.42 平均パット数1.9 パーオン率14.3% フェアウェイ率51.8% OB率25.0% バンカー率18.0%
