,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：350yd,Hdcp：8,PAR：4,Reg.：375yd,Hdcp：5,PAR：5,Reg.：547yd,Hdcp：2
1,,,,,,,,,
2,難易度3位/9ホール中 平均スコア5.53 平均パット数1.91 パーオン率11.0% フェアウェイ率54.0% OB率10.3% バンカー率16.8%,難易度3位/9ホール中 平均スコア5.53 平均パット数1.91 パーオン率11.0% フェアウェイ率54.0% OB率10.3% バンカー率16.8%,難易度3位/9ホール中 平均スコア5.53 平均パット数1.91 パーオン率11.0% フェアウェイ率54.0% OB率10.3% バンカー率16.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数1.93 パーオン率13.0% フェアウェイ率50.3% OB率4.3% バンカー率16.5%,難易度4位/9ホール中 平均スコア5.36 平均パット数1.93 パーオン率13.0% フェアウェイ率50.3% OB率4.3% バンカー率16.5%,難易度4位/9ホール中 平均スコア5.36 平均パット数1.93 パーオン率13.0% フェアウェイ率50.3% OB率4.3% バンカー率16.5%,難易度1位/9ホール中 平均スコア6.67 平均パット数1.88 パーオン率9.8% フェアウェイ率54.5% OB率17.0% バンカー率11.5%,難易度1位/9ホール中 平均スコア6.67 平均パット数1.88 パーオン率9.8% フェアウェイ率54.5% OB率17.0% バンカー率11.5%,難易度1位/9ホール中 平均スコア6.67 平均パット数1.88 パーオン率9.8% フェアウェイ率54.5% OB率17.0% バンカー率11.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：171yd,Hdcp：7,PAR：5,Reg.：390yd,Hdcp：1,PAR：4,Reg.：327yd,Hdcp：4
5,,,,,,,,,
6,難易度9位/9ホール中 平均スコア3.9 平均パット数1.91 パーオン率28.5% フェアウェイ率- OB率4.3% バンカー率34.0%,難易度9位/9ホール中 平均スコア3.9 平均パット数1.91 パーオン率28.5% フェアウェイ率- OB率4.3% バンカー率34.0%,難易度9位/9ホール中 平均スコア3.9 平均パット数1.91 パーオン率28.5% フェアウェイ率- OB率4.3% バンカー率34.0%,難易度6位/9ホール中 平均スコア6.07 平均パット数1.92 パーオン率31.8% フェアウェイ率54.8% OB率7.5% バンカー率40.8%,難易度6位/9ホール中 平均スコア6.07 平均パット数1.92 パーオン率31.8% フェアウェイ率54.8% OB率7.5% バンカー率40.8%,難易度6位/9ホール中 平均スコア6.07 平均パット数1.92 パーオン率31.8% フェアウェイ率54.8% OB率7.5% バンカー率40.8%,難易度5位/9ホール中 平均スコア5.26 平均パット数1.89 パーオン率19.3% フェアウェイ率50.8% OB率27.0% バンカー率17.8%,難易度5位/9ホール中 平均スコア5.26 平均パット数1.89 パーオン率19.3% フェアウェイ率50.8% OB率27.0% バンカー率17.8%,難易度5位/9ホール中 平均スコア5.26 平均パット数1.89 パーオン率19.3% フェアウェイ率50.8% OB率27.0% バンカー率17.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：139yd,Hdcp：9,PAR：4,Reg.：415yd,Hdcp：3,PAR：3,Reg.：161yd,Hdcp：6
9,,,,,,,,,
10,難易度7位/9ホール中 平均スコア4.01 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率2.0% バンカー率13.8%,難易度7位/9ホール中 平均スコア4.01 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率2.0% バンカー率13.8%,難易度7位/9ホール中 平均スコア4.01 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率2.0% バンカー率13.8%,難易度2位/9ホール中 平均スコア5.65 平均パット数1.83 パーオン率5.3% フェアウェイ率59.0% OB率36.8% バンカー率7.8%,難易度2位/9ホール中 平均スコア5.65 平均パット数1.83 パーオン率5.3% フェアウェイ率59.0% OB率36.8% バンカー率7.8%,難易度2位/9ホール中 平均スコア5.65 平均パット数1.83 パーオン率5.3% フェアウェイ率59.0% OB率36.8% バンカー率7.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.87 パーオン率19.3% フェアウェイ率- OB率5.3% バンカー率27.3%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.87 パーオン率19.3% フェアウェイ率- OB率5.3% バンカー率27.3%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.87 パーオン率19.3% フェアウェイ率- OB率5.3% バンカー率27.3%
