,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：507yd,Hdcp：9,PAR：3,Reg.：175yd,Hdcp：13,PAR：4,Reg.：383yd,Hdcp：3
1,ＦＷが広くまっすぐ伸び見通しもよいロングホール,ＦＷが広くまっすぐ伸び見通しもよいロングホール,ＦＷが広くまっすぐ伸び見通しもよいロングホール,油断のならないショートホール,油断のならないショートホール,油断のならないショートホール,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール
2,難易度5位/18ホール中 平均スコア6.59 平均パット数1.97 パーオン率14.3% フェアウェイ率55.3% OB率18.0% バンカー率7.0%,難易度5位/18ホール中 平均スコア6.59 平均パット数1.97 パーオン率14.3% フェアウェイ率55.3% OB率18.0% バンカー率7.0%,難易度5位/18ホール中 平均スコア6.59 平均パット数1.97 パーオン率14.3% フェアウェイ率55.3% OB率18.0% バンカー率7.0%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.79 パーオン率19.5% フェアウェイ率- OB率21.7% バンカー率5.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.79 パーオン率19.5% フェアウェイ率- OB率21.7% バンカー率5.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.79 パーオン率19.5% フェアウェイ率- OB率21.7% バンカー率5.8%,難易度4位/18ホール中 平均スコア5.58 平均パット数1.97 パーオン率7.3% フェアウェイ率50.8% OB率18.8% バンカー率6.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数1.97 パーオン率7.3% フェアウェイ率50.8% OB率18.8% バンカー率6.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数1.97 パーオン率7.3% フェアウェイ率50.8% OB率18.8% バンカー率6.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：388yd,Hdcp：7,PAR：4,Reg.：397yd,Hdcp：11,PAR：4,Reg.：375yd,Hdcp：1
5,距離のある豪快な打ち上げのミドルホール,距離のある豪快な打ち上げのミドルホール,距離のある豪快な打ち上げのミドルホール,日光連山を望むコース随一の美しいホール,日光連山を望むコース随一の美しいホール,日光連山を望むコース随一の美しいホール,距離のある右ドッグレッグミドルホール,距離のある右ドッグレッグミドルホール,距離のある右ドッグレッグミドルホール
6,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率5.0% フェアウェイ率53.0% OB率6.7% バンカー率22.3%,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率5.0% フェアウェイ率53.0% OB率6.7% バンカー率22.3%,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率5.0% フェアウェイ率53.0% OB率6.7% バンカー率22.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率9.3% フェアウェイ率65.0% OB率12.7% バンカー率12.0%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率9.3% フェアウェイ率65.0% OB率12.7% バンカー率12.0%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.93 パーオン率9.3% フェアウェイ率65.0% OB率12.7% バンカー率12.0%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.89 パーオン率5.8% フェアウェイ率57.0% OB率17.5% バンカー率35.3%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.89 パーオン率5.8% フェアウェイ率57.0% OB率17.5% バンカー率35.3%,難易度3位/18ホール中 平均スコア5.63 平均パット数1.89 パーオン率5.8% フェアウェイ率57.0% OB率17.5% バンカー率35.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：332yd,Hdcp：15,PAR：3,Reg.：153yd,Hdcp：17,PAR：5,Reg.：504yd,Hdcp：5
9,較的距離の短いミドルホール,較的距離の短いミドルホール,較的距離の短いミドルホール,谷越えの難しいショートホール,谷越えの難しいショートホール,谷越えの難しいショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度12位/18ホール中 平均スコア5.1 平均パット数1.88 パーオン率20.3% フェアウェイ率58.8% OB率9.7% バンカー率29.0%,難易度12位/18ホール中 平均スコア5.1 平均パット数1.88 パーオン率20.3% フェアウェイ率58.8% OB率9.7% バンカー率29.0%,難易度12位/18ホール中 平均スコア5.1 平均パット数1.88 パーオン率20.3% フェアウェイ率58.8% OB率9.7% バンカー率29.0%,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率34.5%,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率34.5%,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.8% フェアウェイ率- OB率1.0% バンカー率34.5%,難易度6位/18ホール中 平均スコア6.56 平均パット数1.99 パーオン率13.5% フェアウェイ率54.8% OB率10.3% バンカー率31.0%,難易度6位/18ホール中 平均スコア6.56 平均パット数1.99 パーオン率13.5% フェアウェイ率54.8% OB率10.3% バンカー率31.0%,難易度6位/18ホール中 平均スコア6.56 平均パット数1.99 パーオン率13.5% フェアウェイ率54.8% OB率10.3% バンカー率31.0%
