,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：399yd,Hdcp：10,PAR：4,Reg.：413yd,Hdcp：4,PAR：4,Reg.：360yd,Hdcp：16
1,右奥に池のあるなだらかな打ち下ろしのミドルホール,右奥に池のあるなだらかな打ち下ろしのミドルホール,右奥に池のあるなだらかな打ち下ろしのミドルホール,右サイドに池のあるやや緩やかな上りの　ミドル,右サイドに池のあるやや緩やかな上りの　ミドル,右サイドに池のあるやや緩やかな上りの　ミドル,富士山も望めるとても眺望の良いミドルホール,富士山も望めるとても眺望の良いミドルホール,富士山も望めるとても眺望の良いミドルホール
2,難易度5位/18ホール中 平均スコア5.57 平均パット数2 パーオン率10.5% フェアウェイ率30.0% OB率8.3% バンカー率17.3%,難易度5位/18ホール中 平均スコア5.57 平均パット数2 パーオン率10.5% フェアウェイ率30.0% OB率8.3% バンカー率17.3%,難易度5位/18ホール中 平均スコア5.57 平均パット数2 パーオン率10.5% フェアウェイ率30.0% OB率8.3% バンカー率17.3%,難易度3位/18ホール中 平均スコア5.58 平均パット数2.01 パーオン率7.3% フェアウェイ率42.5% OB率4.3% バンカー率20.0%,難易度3位/18ホール中 平均スコア5.58 平均パット数2.01 パーオン率7.3% フェアウェイ率42.5% OB率4.3% バンカー率20.0%,難易度3位/18ホール中 平均スコア5.58 平均パット数2.01 パーオン率7.3% フェアウェイ率42.5% OB率4.3% バンカー率20.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率37.8% OB率4.3% バンカー率40.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率37.8% OB率4.3% バンカー率40.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率37.8% OB率4.3% バンカー率40.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：167yd,Hdcp：8,PAR：5,Reg.：524yd,Hdcp：2,PAR：3,Reg.：156yd,Hdcp：14
5,見た目以上に距離のあるショートホール,見た目以上に距離のあるショートホール,見た目以上に距離のあるショートホール,大きな二本杉が印象的なハードなロングホール,大きな二本杉が印象的なハードなロングホール,大きな二本杉が印象的なハードなロングホール,グリーン手前に樹木があるショートホール,グリーン手前に樹木があるショートホール,グリーン手前に樹木があるショートホール
6,難易度14位/18ホール中 平均スコア3.98 平均パット数1.99 パーオン率27.5% フェアウェイ率- OB率4.3% バンカー率42.3%,難易度14位/18ホール中 平均スコア3.98 平均パット数1.99 パーオン率27.5% フェアウェイ率- OB率4.3% バンカー率42.3%,難易度14位/18ホール中 平均スコア3.98 平均パット数1.99 パーオン率27.5% フェアウェイ率- OB率4.3% バンカー率42.3%,難易度1位/18ホール中 平均スコア6.65 平均パット数1.98 パーオン率16.0% フェアウェイ率35.8% OB率29.3% バンカー率29.5%,難易度1位/18ホール中 平均スコア6.65 平均パット数1.98 パーオン率16.0% フェアウェイ率35.8% OB率29.3% バンカー率29.5%,難易度1位/18ホール中 平均スコア6.65 平均パット数1.98 パーオン率16.0% フェアウェイ率35.8% OB率29.3% バンカー率29.5%,難易度17位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率31.8% フェアウェイ率- OB率2.8% バンカー率30.0%,難易度17位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率31.8% フェアウェイ率- OB率2.8% バンカー率30.0%,難易度17位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率31.8% フェアウェイ率- OB率2.8% バンカー率30.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：357yd,Hdcp：12,PAR：4,Reg.：325yd,Hdcp：18,PAR：5,Reg.：504yd,Hdcp：6
9,左傾斜が特徴の攻略難易度の高いミドルホール,左傾斜が特徴の攻略難易度の高いミドルホール,左傾斜が特徴の攻略難易度の高いミドルホール,大きく開いたフェアウェイで桜や桃がきれいなホール,大きく開いたフェアウェイで桜や桃がきれいなホール,大きく開いたフェアウェイで桜や桃がきれいなホール,２つの池が広がる壮大なロングホール,２つの池が広がる壮大なロングホール,２つの池が広がる壮大なロングホール
