,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：330yd,Hdcp：17,PAR：4,Reg.：335yd,Hdcp：13,PAR：3,Reg.：187yd,Hdcp：3
1,第１打はグリーン後方の白ポールを目標に！,第１打はグリーン後方の白ポールを目標に！,第１打はグリーン後方の白ポールを目標に！,丘陵の稜線中央に向かって正確なショットを！,丘陵の稜線中央に向かって正確なショットを！,丘陵の稜線中央に向かって正確なショットを！,”馬の背”の名物ホール　２本の松の間が目標,”馬の背”の名物ホール　２本の松の間が目標,”馬の背”の名物ホール　２本の松の間が目標
2,難易度11位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率25.0% フェアウェイ率51.0% OB率18.0% バンカー率15.8%,難易度11位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率25.0% フェアウェイ率51.0% OB率18.0% バンカー率15.8%,難易度11位/18ホール中 平均スコア5.18 平均パット数1.96 パーオン率25.0% フェアウェイ率51.0% OB率18.0% バンカー率15.8%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率27.8% フェアウェイ率50.8% OB率24.5% バンカー率29.0%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率27.8% フェアウェイ率50.8% OB率24.5% バンカー率29.0%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.03 パーオン率27.8% フェアウェイ率50.8% OB率24.5% バンカー率29.0%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.01 パーオン率24.3% フェアウェイ率- OB率17.8% バンカー率24.0%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.01 パーオン率24.3% フェアウェイ率- OB率17.8% バンカー率24.0%,難易度16位/18ホール中 平均スコア4.09 平均パット数2.01 パーオン率24.3% フェアウェイ率- OB率17.8% バンカー率24.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：110yd,Hdcp：9,PAR：4,Reg.：340yd,Hdcp：1,PAR：4,Reg.：370yd,Hdcp：7
5,打ち下ろし気味のショートホール,打ち下ろし気味のショートホール,打ち下ろし気味のショートホール,２０３高地のミドルホール,２０３高地のミドルホール,２０３高地のミドルホール,豪快な打ち下ろしショットでゴルフの醍醐味を！,豪快な打ち下ろしショットでゴルフの醍醐味を！,豪快な打ち下ろしショットでゴルフの醍醐味を！
6,難易度17位/18ホール中 平均スコア4.07 平均パット数2.03 パーオン率27.0% フェアウェイ率- OB率9.3% バンカー率43.0%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.03 パーオン率27.0% フェアウェイ率- OB率9.3% バンカー率43.0%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.03 パーオン率27.0% フェアウェイ率- OB率9.3% バンカー率43.0%,難易度6位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率16.5% フェアウェイ率54.8% OB率9.0% バンカー率21.5%,難易度6位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率16.5% フェアウェイ率54.8% OB率9.0% バンカー率21.5%,難易度6位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率16.5% フェアウェイ率54.8% OB率9.0% バンカー率21.5%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.98 パーオン率13.5% フェアウェイ率49.5% OB率4.0% バンカー率39.8%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.98 パーオン率13.5% フェアウェイ率49.5% OB率4.0% バンカー率39.8%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.98 パーオン率13.5% フェアウェイ率49.5% OB率4.0% バンカー率39.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：285yd,Hdcp：15,PAR：3,Reg.：175yd,Hdcp：5,PAR：5,Reg.：480yd,Hdcp：11
9,フェアウェイの中半に谷が迫るミドルホール,フェアウェイの中半に谷が迫るミドルホール,フェアウェイの中半に谷が迫るミドルホール,左右両側に深い谷が迫る　リラックスしてショット,左右両側に深い谷が迫る　リラックスしてショット,左右両側に深い谷が迫る　リラックスしてショット,やや左ドッグのロングホール,やや左ドッグのロングホール,やや左ドッグのロングホール
10,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率35.3% フェアウェイ率54.3% OB率28.5% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率35.3% フェアウェイ率54.3% OB率28.5% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率35.3% フェアウェイ率54.3% OB率28.5% バンカー率21.0%,難易度10位/18ホール中 平均スコア4.25 平均パット数1.91 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率24.8%,難易度10位/18ホール中 平均スコア4.25 平均パット数1.91 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率24.8%,難易度10位/18ホール中 平均スコア4.25 平均パット数1.91 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率24.8%,難易度4位/18ホール中 平均スコア6.5 平均パット数2.11 パーオン率25.8% フェアウェイ率49.8% OB率28.8% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.5 平均パット数2.11 パーオン率25.8% フェアウェイ率49.8% OB率28.8% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.5 平均パット数2.11 パーオン率25.8% フェアウェイ率49.8% OB率28.8% バンカー率20.0%
